title,url,date_published,scraped_date,article_number,article_content
Справочник / Нормативни актове,https://lex.bg/laws/ldoc/1594373121,КОДЕКС НА ТРУДА,2025-03-16T11:26:46.544225,Чл. 1,"Чл. 1. (Изм. - ДВ, бр. 100 от 1992 г.) (1) Този кодекс урежда трудовите отношения между работника или служителя и работодателя, както и други отношения, непосредствено свързани с тях.
(2) (Нова - ДВ, бр. 2 от 1996 г.) Отношенията при предоставянето на работна сила се уреждат само като трудови правоотношения.
(3) (Предишна ал. 2 - ДВ, бр. 2 от 1996 г., изм. - ДВ, бр. 25 от 2001 г., в сила от 31.03.2001 г.) Този кодекс цели да осигури свободата и закрилата на труда, справедливи и достойни условия на труд, както и осъществяване на социален диалог между държавата, работниците, служителите, работодателите и техните организации за уреждане на трудовите и непосредствено свързаните с тях отношения.
Социален диалог"
Справочник / Нормативни актове,https://lex.bg/laws/ldoc/1594373121,КОДЕКС НА ТРУДА,2025-03-16T11:26:46.544225,Чл. 2,"Чл. 2. (Нов - ДВ, бр. 25 от 2001 г., в сила от 31.03.2001 г.) Държавата регулира трудовите и непосредствено свързаните с тях отношения, осигурителните отношения и въпросите на жизненото равнище след консултации и диалог с работниците, служителите, работодателите и техните организации в дух на сътрудничество, взаимни отстъпки и зачитане на интересите на всяка от страните.
Двустранно сътрудничество"
Справочник / Нормативни актове,https://lex.bg/laws/ldoc/1594373121,КОДЕКС НА ТРУДА,2025-03-16T11:26:46.544225,Чл. 2а,"Чл. 2а. (Нов - ДВ, бр. 107 от 2020 г.) (1) Държавата насърчава социалния диалог и двустранното сътрудничество между синдикалните организации и организациите на работодателите по въпросите, определени в чл. 2.
(2) Представителните организации на работниците и служителите и на работодателите на национално равнище полагат усилия за развитие на социалния диалог и сътрудничеството, които да допринасят за:
1. укрепване на взаимното доверие;
2. взаимно зачитане на интересите;
3. утвърждаване на колективното трудово договаряне;
4. повишаване информираността на работниците и служителите;
5. мотивацията на работниците и служителите за активно участие в работния процес;
6. развитие и утвърждаване на корпоративната социална отговорност.
Тристранно сътрудничество"
Справочник / Нормативни актове,https://lex.bg/laws/ldoc/1594373121,КОДЕКС НА ТРУДА,2025-03-16T11:26:46.544225,Чл. 3,"Чл. 3. (Изм. - ДВ, бр. 100 от 1992 г., изм. - ДВ, бр. 25 от 2001 г., в сила от 31.03.2001 г.) (1) (Доп. - ДВ, бр. 120 от 2002 г.) Държавата осъществява регулирането на трудовите и непосредствено свързаните с тях отношения, осигурителните отношения, както и въпросите на жизненото равнище в сътрудничество и след консултации с представителните организации на работниците и служителите и на работодателите. Обхватът на въпросите на жизненото равнище, предмет на консултации, се определя с акт на Министерския съвет по предложение на Националния съвет за тристранно сътрудничество.
(2) (Изм. - ДВ, бр. 120 от 2002 г.) Сътрудничеството и консултациите задължително се осъществяват при приемането на нормативни актове по отношенията и въпросите, посочени в ал. 1.
(3) (Нова - ДВ, бр. 54 от 2015 г., в сила от 17.07.2015 г.) По въпроси в обхвата на ал. 1 могат да се сключват споразумения между представителните организации на работниците и служителите и работодателите за приемане на нормативни актове, когато:
1. споразумението е сключено по тяхно искане след преценка на държавата;
2. държавата е предложила сключване на споразумението.
(4) (Нова - ДВ, бр. 54 от 2015 г., в сила от 17.07.2015 г.) Изпълнението на споразуменията по ал. 3 се осъществява от държавата.
Национален съвет за тристранно сътрудничество"
Справочник / Нормативни актове,https://lex.bg/laws/ldoc/1594373121,КОДЕКС НА ТРУДА,2025-03-16T11:26:46.544225,Чл. 3а,"Чл. 3а. (Нов - ДВ, бр. 25 от 2001 г., в сила от 31.03.2001 г.) (1) Сътрудничеството и консултациите по чл. 3 на национално равнище се осъществяват от Националния съвет за тристранно сътрудничество.
(2) Националният съвет за тристранно сътрудничество се състои от по двама представители на Министерския съвет, на представителните организации на работниците и служителите и на работодателите. Министерският съвет определя своите представители, а представителите на представителните организации на работниците и служителите и на работодателите се определят от техните ръководства съгласно уставите им.
(3) Националният съвет за тристранно сътрудничество се ръководи от заместник министър-председател.
(4) (Нова - ДВ, бр. 120 от 2002 г.) Националният съвет за тристранно сътрудничество избира от лицата, представляващи по закон организациите на работниците и служителите и на работодателите на ротационен принцип по един заместник-председател на съвета за срок от една година.
(5) (Нова - ДВ, бр. 120 от 2002 г.) При отсъствие на председателя на Националния съвет за тристранно сътрудничество заседанията се ръководят от посочен от него заместник- председател.
Отраслови, браншови, областни и общински съвети за тристранно сътрудничество"
Справочник / Нормативни актове,https://lex.bg/laws/ldoc/1594373121,КОДЕКС НА ТРУДА,2025-03-16T11:26:46.544225,Чл. 3б,"Чл. 3б. (Нов - ДВ, бр. 25 от 2001 г., в сила от 31.03.2001 г., изм. - ДВ, бр. 15 от 2010 г.) (1) Сътрудничеството и консултациите по чл. 3 по отрасли, браншове, области и общини се осъществяват от отраслови, браншови, областни и общински съвети за тристранно сътрудничество.
(2) Отрасловите, браншовите, областните и общинските съвети за тристранно сътрудничество се състоят от по двама представители на съответното министерство, друго ведомство, областна или общинска администрация, на представителните организации на работниците и служителите и на работодателите.
(3) Представителите на министерствата, на другите ведомства и на областните и общинските администрации се определят от съответния министър, ръководител на друго ведомство, областен управител или кмет на община, а на представителните организации на работниците и служителите и на работодателите - от техните ръководства съгласно уставите им.
(4) Председателите на отрасловите, браншовите, областните и общинските съвети за тристранно сътрудничество се определят от съответния министър, ръководител на друго ведомство, областен управител или кмет на община след консултации с представителните организации на работниците и служителите и на работодателите в съответните съвети за тристранно сътрудничество.
Функции на съветите за тристранно сътрудничество"
Справочник / Нормативни актове,https://lex.bg/laws/ldoc/1594373121,КОДЕКС НА ТРУДА,2025-03-16T11:26:46.544225,Чл. 3в,"Чл. 3в. (Нов - ДВ, бр. 25 от 2001 г., в сила от 31.03.2001 г.) (1) (Доп. - ДВ, бр. 107 от 2020 г.) Националният съвет за тристранно сътрудничество обсъжда и дава мнения по законопроекти, проекти на подзаконови нормативни актове и решения на Министерския съвет и по други въпроси по чл. 3.
(2) Мнение от Националния съвет за тристранно сътрудничество по ал. 1 могат да искат:
1. президентът на Републиката;
2. председателят на Народното събрание и председателите на постоянни комисии на Народното събрание;
3. министър-председателят.
(3) (Изм. - ДВ, бр. 15 от 2010 г.) Отрасловите, браншовите, областните и общинските съвети за тристранно сътрудничество обсъждат и дават мнение при уреждането на специфичните въпроси по чл. 3 за съответния отрасъл, бранш, област или община.
(4) (Изм. - ДВ, бр. 15 от 2010 г.) Мнение по ал. 3 се дава по искане на държавния орган, който урежда съответните въпроси, или по инициатива на отрасловите, браншовите, областните и общинските съвети за тристранно сътрудничество.
Заседания на съветите за тристранно сътрудничество"
Справочник / Нормативни актове,https://lex.bg/laws/ldoc/1594373121,КОДЕКС НА ТРУДА,2025-03-16T11:26:46.544225,Чл. 3г,"Чл. 3г. (Нов - ДВ, бр. 25 от 2001 г., в сила от 31.03.2001 г.) (1) Съветите за тристранно сътрудничество се свикват на заседание от председателите им, които определят и дневния ред на заседанието.
(2) Съветите за тристранно сътрудничество се свикват на заседание и по искане на представителите на всяка от организациите на работниците и служителите или на работодателите, които предлагат и дневния ред на заседанието.
Организиране на дейността и приемане на решения на съветите за тристранно сътрудничество"
Справочник / Нормативни актове,https://lex.bg/laws/ldoc/1594373121,КОДЕКС НА ТРУДА,2025-03-16T11:26:46.544225,Чл. 3д,"Чл. 3д. (Нов - ДВ, бр. 25 от 2001 г., в сила от 31.03.2001 г.) (1) Председателите на съветите за тристранно сътрудничество ръководят техните заседания, организират и насочват дейността им в дух на сътрудничество, взаимни отстъпки и зачитане на интересите на всяка от страните.
(2) (Изм. - ДВ, бр. 120 от 2002 г.) Заседанията на съветите са редовни, когато присъстват представители и на трите участващи в тях страни.
(3) (Нова - ДВ, бр. 120 от 2002 г.) Заседанията са редовни и когато на тях не присъстват упълномощени представители на някои от участниците от страна на представителните организации на работниците и служителите и на работодателите, в случай че те са били уведомени.
(4) (Предишна ал. 3 - ДВ, бр. 120 от 2002 г.) Съветите приемат решенията си с общо съгласие.
(5) (Предишна ал. 4 - ДВ, бр. 120 от 2002 г.) Приетите решения от съветите за тристранно сътрудничество се предоставят на съответните органи, както следва:
1. решенията на Националния съвет за тристранно сътрудничество - на министър-председателя или на съответния министър или ръководител на друго ведомство;
2. решенията на отрасловите и браншовите съвети за тристранно сътрудничество - на съответния министър или ръководител на друго ведомство;
3. (изм. - ДВ, бр. 15 от 2010 г.) решенията на областния и общинския съвет за тристранно сътрудничество - на областния управител и на кмета на общината или на председателя на общинския съвет, според компетентността за приемане на окончателен акт по обсъжданите въпроси.
(6) (Предишна ал. 5 - ДВ, бр. 120 от 2002 г., изм. - ДВ, бр. 15 от 2010 г.) Държавните, областните и общинските органи, на които са предоставени мнения на съвет за тристранно сътрудничество, са длъжни да ги обсъдят при приемането на решения в рамките на своята компетентност.
Уредба и финансиране дейността на съветите за тристранно сътрудничество"
Справочник / Нормативни актове,https://lex.bg/laws/ldoc/1594373121,КОДЕКС НА ТРУДА,2025-03-16T11:26:46.544225,Чл. 3е,"Чл. 3е. (Нов - ДВ, бр. 25 от 2001 г., в сила от 31.03.2001 г.) (1) Организацията и дейността на съветите за тристранно сътрудничество се уреждат с правилник, приет от Националния съвет за тристранно сътрудничество.
(2) Разходите по дейността на съветите за тристранно сътрудничество са за сметка на съответните държавни и общински органи, участващи в тях.
Сдружаване на работниците и служителите"
